,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_COURT,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,TYPE_ADRESSE,QUARTIER,COMMUNE,LONGITUDE,LATITUDE
639,142953,café moulu Primium supérieur 100% robusta sachet 500 g,épicerie sucrée,"café, thé, boisson chaude",café,café moulu et en grain,IMPORT,Sec,,0.5,kg,910,2019-11-19 00:00:00.000,0,N,A,MAGECO KOUMAC (Fermé),PHYSIQUE,,Koumac,164.282156,-20.560039
640,142953,café moulu Primium supérieur 100% robusta sachet 500 g,épicerie sucrée,"café, thé, boisson chaude",café,café moulu et en grain,IMPORT,Sec,,0.5,kg,795,2020-09-01 00:00:00.000,0,N,A,CARREFOUR MARKET N'GEA,PHYSIQUE,Faubourg blanchot,Nouméa,166.456598,-22.285624
641,198137,poivre blanc U moulu flacon 50 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",poivre,IMPORT,Sec,U,0.05,kg,300,2020-08-18 00:00:00.000,0,N,A,SUPER U MAGECO,PHYSIQUE,Doniambo,Nouméa,166.443758,-22.259361
642,223750,coriandre Sainte Lucie moulue flacon 35 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",herbe culinaire,IMPORT,Sec,Sainte Lucie,0.035,kg,230,2020-11-03 00:00:00.000,0,N,A,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
643,177669,génoise Balconi sweet roll cacao paquet 300 g,épicerie sucrée,"biscuit et gâteau, barre de céréales",gâteau,gâteau moelleux,IMPORT,Sec,,0.3,kg,250,2021-09-14 00:00:00.000,0,N,A,GEANT DUMBEA - CENTRE COMMERCIAL DUMBEA MALL,PHYSIQUE,,Dumbéa,166.451101,-22.20383
644,184694,bouillon pour soupe pho Bao Long cube paquet 75 g,épicerie salée,"assaisonnement, condiment, aide culinaire","bouillon, aide culinaire","bouillon, aide culinaire",IMPORT,Sec,,0.075,kg,130,2022-11-29 00:00:00.000,0,N,A,AUCHAN SUPERMARCHE NOUMEA ,PHYSIQUE,Motor Pool,Nouméa,166.448155,-22.291739
645,178434,sauce tomate Barilla à la provençale pot 400 g,épicerie salée,"assaisonnement, condiment, aide culinaire",condiment et sauce,sauce pour pâte et riz,IMPORT,Sec,Barilla,0.4,kg,350,2023-05-16 00:00:00.000,1,N,A,GEANT DUMBEA - CENTRE COMMERCIAL DUMBEA MALL,PHYSIQUE,,Dumbéa,166.451101,-22.20383
646,134635,betterave Bonduelle en dés 1/2 conserve 300 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,IMPORT,Sec,Bonduelle,0.3,kg,180,2014-04-21 00:00:00.000,0,N,,CARREFOUR EXPRESS NAKUTAKOIN,PHYSIQUE,Baie des Citrons,Dumbéa,166.415695,-22.173535
647,137974,épice mélangée Ducros pour grillade  flacon 32 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",épice culinaire,IMPORT,Sec,Ducros,0.032,kg,545,2015-09-28 00:00:00.000,0,N,,CARREFOUR EXPRESS PAITA (ancien ARIZONA PAITA),PHYSIQUE,,Païta,166.367278,-22.129734
648,134635,betterave Bonduelle en dés 1/2 conserve 300 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,IMPORT,Sec,Bonduelle,0.3,kg,195,2017-02-10 00:00:00.000,0,N,,BOURAIL BAZAR,PHYSIQUE,,Bourail,165.479511,-21.552757
