dt,AverageTemperature,Year,Month,Days delta,Season,MA,Season offset
1929-04-01,10.576999999999998,1929.25,4,7030,1,12.424416666666668,-1.8474166666666694
1929-05-01,15.026,1929.3333333333333,5,7060,1,12.531833333333333,2.4941666666666666
1929-06-01,17.855999999999998,1929.4166666666667,6,7091,2,12.561583333333333,5.294416666666665
1929-07-01,20.082,1929.5,7,7121,2,12.462583333333333,7.619416666666668
1929-08-01,19.135,1929.5833333333333,8,7152,2,12.385583333333335,6.749416666666667
1929-09-01,19.109,1929.6666666666667,9,7183,3,12.548083333333333,6.560916666666669
1929-10-01,13.510000000000002,1929.75,10,7213,3,12.549500000000002,0.9604999999999997
1929-11-01,10.127,1929.8333333333333,11,7244,3,12.490416666666667,-2.363416666666666
1929-12-01,8.895,1929.9166666666667,12,7274,0,12.657916666666667,-3.7629166666666674
1930-01-01,8.426,1930.0,1,7305,0,13.02125,-4.59525
1930-02-01,6.439,1930.0833333333333,2,7336,0,13.236333333333334,-6.797333333333334
1930-03-01,10.075,1930.1666666666667,3,7364,1,13.271416666666667,-3.196416666666668
1930-04-01,11.909999999999998,1930.25,4,7395,1,13.3825,-1.472500000000002
1930-05-01,14.297,1930.3333333333333,5,7425,1,13.32175,0.9752500000000008
1930-06-01,18.899,1930.4166666666667,6,7456,2,13.408666666666667,5.490333333333334
1930-07-01,18.564,1930.5,7,7486,2,13.282166666666669,5.281833333333331
1930-08-01,19.142,1930.5833333333333,8,7517,2,13.28275,5.859249999999999
1930-09-01,17.290000000000006,1930.6666666666667,9,7548,3,13.131166666666667,4.158833333333339
1930-10-01,13.856,1930.75,10,7578,3,13.159999999999998,0.6960000000000015
1930-11-01,11.398,1930.8333333333333,11,7609,3,13.265916666666667,-1.8679166666666678
1930-12-01,7.729,1930.9166666666667,12,7639,0,13.168750000000001,-5.439750000000001
1931-01-01,6.879,1931.0,1,7670,0,13.039833333333332,-6.160833333333333
1931-02-01,6.6000000000000005,1931.0833333333333,2,7701,0,13.05325,-6.45325
1931-03-01,9.238,1931.1666666666667,3,7729,1,12.983500000000001,-3.7455000000000016
1931-04-01,11.396999999999998,1931.25,4,7760,1,12.940750000000001,-1.5437500000000028
1931-05-01,15.672,1931.3333333333333,5,7790,1,13.055333333333335,2.6166666666666654
1931-06-01,19.062,1931.4166666666667,6,7821,2,13.068916666666667,5.993083333333335
1931-07-01,18.847,1931.5,7,7851,2,13.0925,5.754500000000002
1931-08-01,18.239,1931.5833333333333,8,7882,2,13.017249999999999,5.221750000000002
1931-09-01,14.416,1931.6666666666667,9,7913,3,12.77775,1.638250000000001
1931-10-01,12.866,1931.75,10,7943,3,12.695250000000001,0.17074999999999818
1931-11-01,10.863,1931.8333333333333,11,7974,3,12.650666666666668,-1.7876666666666683
1931-12-01,6.300000000000002,1931.9166666666667,12,8004,0,12.531583333333332,-6.23158333333333
1932-01-01,7.749,1932.0,1,8035,0,12.604083333333335,-4.855083333333336
1932-02-01,4.792,1932.0833333333333,2,8066,0,12.453416666666664,-7.661416666666664
1932-03-01,8.789000000000001,1932.1666666666667,3,8095,1,12.415999999999999,-3.626999999999997
1932-04-01,10.642,1932.25,4,8126,1,12.353083333333332,-1.7110833333333328
1932-05-01,14.233,1932.3333333333333,5,8156,1,12.233166666666667,1.9998333333333331
1932-06-01,17.008,1932.4166666666667,6,8187,2,12.062,4.946
1932-07-01,18.367,1932.5,7,8217,2,12.022,6.345000000000001
1932-08-01,20.775,1932.5833333333333,8,8248,2,12.233333333333334,8.541666666666664
1932-09-01,18.303,1932.6666666666667,9,8279,3,12.557250000000002,5.745749999999999
1932-10-01,13.065,1932.75,10,8309,3,12.573833333333333,0.49116666666666653
1932-11-01,10.475,1932.8333333333333,11,8340,3,12.5415,-2.0664999999999996
1932-12-01,8.187000000000001,1932.9166666666667,12,8370,0,12.698750000000002,-4.511750000000001
1933-01-01,5.239,1933.0,1,8401,0,12.489583333333334,-7.250583333333334
1933-02-01,7.3450000000000015,1933.0833333333333,2,8432,0,12.702333333333335,-5.357333333333334
1933-03-01,10.558000000000002,1933.1666666666667,3,8460,1,12.84975,-2.2917499999999986
1933-04-01,12.502999999999998,1933.25,4,8491,1,13.004833333333332,-0.5018333333333338
1933-05-01,14.993,1933.3333333333333,5,8521,1,13.068166666666668,1.924833333333332
1933-06-01,16.649,1933.4166666666667,6,8552,2,13.03825,3.6107500000000012
1933-07-01,20.231,1933.5,7,8582,2,13.193583333333335,7.037416666666667
1933-08-01,20.691,1933.5833333333333,8,8613,2,13.186583333333333,7.504416666666666
1933-09-01,17.833000000000006,1933.6666666666667,9,8644,3,13.147416666666667,4.685583333333339
1933-10-01,13.844,1933.75,10,8674,3,13.212333333333333,0.6316666666666659
